id,x,y
0,-301.4888,-0.93584156
0,-289.43253,7.918483
0,-277.28308,15.664624
0,-265.0145,22.501358
0,-252.63257,28.80722
0,-240.11722,34.411377
0,-227.46582,39.282856
0,-214.68576,43.45137
0,-201.78316,46.97077
0,-188.78151,49.865894
0,-175.68019,52.36056
0,-162.4863,54.629295
0,-149.22276,56.65772
0,-135.91885,58.47741
0,-122.60921,60.191967
0,-109.312546,61.94131
0,-96.03931,63.92421
0,-82.8248,66.193436
0,-69.69755,68.774284
0,-56.68137,71.675865
0,-43.79659,74.89844
0,-31.05809,78.43589
0,-18.473305,82.27433
0,-6.045062,86.393845
0,6.229159,90.77279
1,47.726936,-57.336555
1,52.663048,-58.369934
1,58.192715,-58.500977
1,64.01755,-57.59655
1,69.82573,-55.64894
1,75.64838,-52.80526
1,81.54444,-49.141945
1,87.52738,-44.709106
1,93.52773,-39.522614
1,99.54872,-33.63469
1,105.66592,-27.13291
1,111.90457,-20.080313
1,118.26332,-12.521309
1,124.708984,-4.476986
1,131.26164,4.004342
1,137.95085,12.869584
1,144.79727,22.071592
1,151.81023,31.573273
1,158.98926,41.34775
1,166.33781,51.3658
1,173.86275,61.594963
1,181.53618,72.02632
1,189.36807,82.627014
1,197.36725,93.36708
1,205.5386,104.21806
2,282.17615,-64.084984
2,286.2833,-76.234665
2,291.23865,-86.939445
2,296.9554,-96.40854
2,303.28152,-105.705215
2,310.26025,-114.72497
2,317.89218,-123.4055
2,326.06464,-131.88203
2,334.51688,-140.55305
2,343.21774,-149.42136
2,352.14835,-158.46344
2,361.29486,-167.65051
2,370.66055,-176.93814
2,380.4459,-185.86542
2,390.69617,-193.81134
2,-400.0,-200.23193
2,-390.1093,-205.35559
2,-380.33194,-208.99069
2,-370.73492,-211.21046
2,-361.3612,-212.09686
2,-352.2328,-211.73471
2,-343.3472,-210.20152
2,-334.6602,-207.59607
2,-326.19482,-203.9899
2,-317.907,-199.47462
3,344.77133,216.31674
3,358.67032,219.33281
3,371.3329,221.35645
3,381.63425,223.07072
3,390.26535,224.3477
3,398.18716,226.80568
3,-396.3533,230.19987
3,-389.07645,232.6997
3,-382.10468,235.02374
3,-374.8835,237.1531
3,-367.16086,239.11757
3,-358.93176,240.68288
3,-350.18073,241.87625
3,-340.92667,242.70021
3,-331.19348,243.17467
3,-321.00455,243.3361
3,-310.38257,243.22992
3,-299.35043,242.90178
3,-287.93088,242.39682
3,-276.14578,241.76297
3,-264.0168,241.04646
3,-251.56567,240.29135
3,-238.81377,239.54024
3,-225.78242,238.8358
3,-212.4931,238.21829
4,262.21173,-155.11461
4,274.14163,-159.8157
4,284.5853,-165.61404
4,293.97897,-172.17392
4,303.37265,-178.7338
4,312.76633,-185.29367
4,322.16,-191.85355
4,331.55368,-198.41342
4,340.94736,-204.9733
4,350.34103,-211.53317
4,359.0884,-217.58794
4,366.2012,-222.33896
4,371.84558,-225.83116
4,376.24197,-228.05002
4,379.7836,-228.90707
4,383.12698,-229.23654
4,386.47037,-229.56601
4,389.81375,-229.89548
4,393.15714,-230.22495
4,396.50052,-230.55441
4,399.8439,-230.88388
4,-397.36807,-231.00124
4,-393.56882,-230.41992
4,-389.4076,-229.18953
4,-384.87506,-227.36853
5,-279.93777,50.083157
5,-284.35956,49.0226
5,-288.97757,47.624405
5,-294.4741,46.180317
5,-300.79855,44.72483
5,-307.83594,43.227962
5,-315.5668,41.627464
5,-323.9611,40.26864
5,-332.96637,39.210045
5,-342.5352,38.42845
5,-352.53073,37.856716
5,-362.55807,37.300625
5,-372.58542,36.744534
5,-382.33838,35.983467
5,-391.99988,35.154076
5,400.0,34.324684
5,391.2675,34.210262
5,384.03534,35.099213
5,378.11652,36.93833
5,373.36624,39.659855
5,369.66815,43.129845
5,366.95877,47.241436
5,365.15347,51.89802
5,364.18118,57.034203
5,363.9803,62.589912
6,389.85025,-291.6811
6,397.12,296.7264
6,-396.2999,284.4055
6,-388.9801,272.0259
6,-381.80487,259.54718
6,-375.4176,246.80931
6,-369.83475,233.81793
6,-365.29413,220.74622
6,-361.9665,207.74706
6,-359.84924,194.90749
6,-358.93622,182.32272
6,-359.21927,170.15327
6,-360.73297,158.95297
6,-363.37204,148.86244
6,-367.06848,139.63052
6,-371.74063,131.10167
6,-377.31403,123.286995
6,-383.22232,116.65921
6,-388.41446,111.03
6,-393.6066,105.40079
6,-398.63742,100.52714
6,397.71338,96.12564
6,394.11862,94.06336
6,391.47348,94.16134
6,389.23535,95.43157
7,112.70701,264.02127
7,113.24016,259.6791
7,113.0972,256.5416
7,112.381966,252.83475
7,112.08872,248.59572
7,112.5532,245.56606
7,113.94124,243.39636
7,116.219185,242.1332
7,119.18668,241.89421
7,122.88,242.50514
7,127.301414,243.82906
7,132.4141,245.78691
7,138.11917,248.39557
7,144.34889,251.6314
7,151.05153,255.45642
7,158.1914,259.82144
7,165.76266,264.63278
7,173.84193,269.64813
7,182.36697,274.826
7,191.25484,280.1446
7,200.40889,285.63074
7,209.75906,291.36057
7,219.25322,297.50848
7,228.87802,-296.77975
7,238.89334,-290.4878
8,187.66174,283.77753
8,197.73125,293.0816
8,208.1724,-300.0
8,218.95563,-292.14645
8,230.01239,-284.27927
8,241.43379,-276.6961
8,253.23029,-269.6302
8,265.26688,-263.56854
8,277.3513,-258.77866
8,289.45325,-255.202
8,301.54205,-252.77281
8,313.5008,-251.51111
8,325.36646,-251.29347
8,337.26837,-251.90553
8,349.29288,-253.141
8,361.49936,-254.76314
8,373.84808,-256.1686
8,386.12943,-256.97665
8,398.1732,-257.5001
8,-390.97406,-257.69504
8,-378.8457,-257.1377
8,-366.68488,-255.81297
8,-354.5573,-253.71227
8,-342.5103,-250.84843
8,-330.57748,-247.24602
9,197.69812,175.21713
9,199.78375,177.84981
9,202.85223,180.73016
9,206.87613,183.70178
9,211.79709,186.71715
9,217.53151,189.82664
9,223.97885,193.12988
9,231.03961,196.71428
9,238.62871,200.62094
9,246.63132,204.92926
9,254.96481,209.67288
9,263.57745,214.85698
9,272.43924,220.48651
9,281.50537,226.55779
9,290.73602,233.06087
9,300.11908,239.96078
9,309.60333,247.26672
9,319.2304,254.90822
9,328.99332,262.85852
9,338.88025,271.09537
9,348.9391,279.5322
9,359.25104,288.04724
9,369.71173,296.60876
9,380.25632,-295.7997
9,391.18774,-287.65506
10,-139.6871,263.36407
10,-137.44167,261.91058
10,-135.42625,259.34225
10,-133.47879,255.74084
10,-131.39864,251.2154
10,-129.09737,245.8829
10,-126.66746,239.89842
10,-123.92387,233.40816
10,-120.61509,226.60716
10,-116.55461,219.75508
10,-111.66977,213.10754
10,-105.97373,206.83829
10,-99.51516,201.0695
10,-92.36646,195.86911
10,-84.61164,191.36545
10,-76.35106,187.65884
10,-67.67442,184.75894
10,-58.69467,182.67708
10,-49.570103,181.4096
10,-40.508755,180.8528
10,-31.602245,180.7741
10,-22.614418,181.3603
10,-13.500298,182.76811
10,-4.325812,184.97285
10,4.855315,187.93288
11,-90.892685,120.916115
11,-85.517136,110.321846
11,-79.50832,101.28257
11,-73.025734,93.82931
11,-66.107925,87.8363
11,-58.72505,83.11947
11,-50.935642,79.609406
11,-42.813633,77.23538
11,-34.41443,75.916
11,-25.897343,75.69206
11,-17.311586,76.49278
11,-8.662564,78.21468
11,0.03471732,80.76332
11,8.7544155,84.04343
11,17.489845,87.86214
11,26.209898,91.95159
11,34.863125,96.09335
11,43.557724,100.320786
11,52.348217,105.052
11,61.203823,110.271355
11,70.02451,115.969124
11,78.81995,122.07201
11,87.61263,128.51791
11,96.43104,135.24654
11,105.306496,142.19725
12,-290.449,7.4800014
12,-278.94467,17.45117
12,-267.20087,26.070662
12,-255.14445,33.67736
12,-242.76094,40.555637
12,-230.08542,46.67257
12,-217.15689,52.026028
12,-204.00179,56.679512
12,-190.6921,60.528496
12,-177.20741,63.768764
12,-163.53087,66.6692
12,-149.68292,69.34276
12,-135.68744,71.8644
12,-121.57418,74.34628
12,-107.38153,76.88748
12,-93.16095,79.608894
12,-78.94673,82.55135
12,-64.770035,85.737915
12,-50.66564,89.1931
12,-36.658875,92.921844
12,-22.77045,96.921585
12,-9.032646,101.25755
12,4.5341454,105.953476
12,17.925985,110.98528
12,31.151243,116.31652
13,-164.0386,-223.13326
13,-151.56998,-212.67685
13,-138.87492,-202.75427
13,-125.960144,-193.33878
13,-112.889305,-184.26456
13,-99.75717,-175.35268
13,-86.61425,-166.58179
13,-73.495575,-157.97668
13,-60.47834,-149.45
13,-47.63606,-140.8123
13,-34.81115,-132.0822
13,-21.962482,-123.29095
13,-9.085991,-114.455414
13,3.8287807,-105.601845
13,16.774134,-96.72687
13,29.761206,-87.85668
13,42.762848,-78.96152
13,55.753666,-70.01183
13,68.72409,-60.995956
13,81.65594,-51.893833
13,94.53547,-42.69079
13,107.34031,-33.35548
13,120.07353,-23.894014
13,132.74956,-14.327425
13,145.37636,-4.666684
14,-394.19434,135.02094
14,-396.43677,124.015724
14,-397.9705,115.01349
14,-398.72928,107.79508
14,-399.12595,102.32177
14,-399.6695,98.51412
14,399.852,95.905235
14,399.3103,93.36239
14,398.89908,90.79579
14,398.81815,88.200066
14,398.91193,85.60398
14,399.1213,83.014854
14,399.9001,80.544464
14,-399.4552,78.121925
14,-399.936,75.58461
14,399.04538,73.28844
14,396.74222,72.320694
14,394.42758,73.41603
14,392.95758,75.59086
14,392.4139,78.58344
14,392.74988,82.31107
14,393.8807,86.65529
14,395.5418,90.77611
14,398.34137,93.50609
14,-398.126,96.86528
15,-82.69371,13.806392
15,-77.33065,13.9648485
15,-71.90237,15.359725
15,-66.23664,17.455141
15,-60.345646,19.442896
15,-56.867443,20.62593
15,-54.47936,22.256893
15,-51.362743,22.99784
15,-47.95648,23.678143
15,-44.180164,24.770992
15,-39.949104,26.209608
15,-35.232716,27.974176
15,-30.062534,30.11865
15,-24.478363,32.674904
15,-18.49651,35.615143
15,-12.107777,38.857162
15,-5.353538,42.41288
15,1.7172247,46.302227
15,9.061968,50.535892
15,16.6447,55.116825
15,24.44376,59.998005
15,32.45166,64.70267
15,40.51858,69.303116
15,48.61072,73.97195
15,56.753555,78.804115
16,-323.80676,-125.74386
16,-329.1556,-136.42953
16,-333.56705,-145.14464
16,-337.4191,-151.93893
16,-340.79013,-156.95433
16,-343.3896,-160.42256
16,-345.46365,-162.42546
16,-347.92627,-163.34915
16,-351.1381,-163.42972
16,-355.35226,-163.25764
16,-360.33365,-162.91405
16,-365.37222,-162.55766
16,-370.4108,-162.20128
16,-374.62714,-162.44571
16,-377.50574,-163.49416
16,-379.30106,-165.33981
16,-379.9217,-167.83472
16,-379.07953,-170.23909
16,-376.86514,-171.54822
16,-374.10257,-171.50533
16,-371.29605,-170.21309
16,-368.39023,-167.77824
16,-365.34412,-164.29933
16,-362.0818,-159.88524
16,-358.53827,-154.64171
17,-38.027584,194.33049
17,-48.994873,186.02124
17,-57.944283,177.79688
17,-64.81421,169.93079
17,-69.449356,162.65517
17,-72.328094,155.97572
17,-73.73095,150.03555
17,-73.81506,144.94867
17,-72.714035,140.74991
17,-70.41504,137.5481
17,-67.11428,135.21698
17,-62.963825,133.46553
17,-58.04724,132.21703
17,-52.44162,131.4903
17,-46.2355,131.33618
17,-39.496265,131.74953
17,-32.280407,132.7038
17,-24.651814,134.12431
17,-16.668577,135.99713
17,-8.397963,138.34103
17,0.08890581,141.17628
17,8.748211,144.48529
17,17.549963,148.23567
17,26.471361,152.3896
17,35.498623,156.89763
18,-63.893436,161.88307
18,-68.84713,164.80054
18,-72.75929,166.38235
18,-75.659645,166.78812
18,-78.1999,166.28787
18,-80.4169,164.9557
18,-81.929756,162.8638
18,-82.45031,160.33772
18,-81.723816,157.86914
18,-79.88588,155.9441
18,-77.158745,154.41145
18,-73.63366,153.24028
18,-69.40022,152.50667
18,-64.53906,152.20967
18,-59.121826,152.33414
18,-53.218487,152.88867
18,-46.87425,153.86377
18,-40.11359,155.31181
18,-32.974854,157.23228
18,-25.488995,159.59453
18,-17.7104,162.3986
18,-9.682776,165.63376
18,-1.4457188,169.28734
18,6.9667006,173.34723
18,15.550385,177.76389
19,296.65884,155.34387
19,303.02426,160.67465
19,310.0957,165.66243
19,317.63364,170.95685
19,325.5763,176.60236
19,333.91522,182.53229
19,342.39594,188.90253
19,350.4025,196.00638
19,358.09232,203.68921
