id,x,y
0,-77.61899,-31.70493
0,-83.02959,-31.404215
0,-87.10216,-30.265076
0,-89.882965,-28.410498
0,-91.368576,-26.135136
0,-91.6719,-23.57507
0,-90.846176,-21.132748
0,-88.96439,-19.37718
0,-86.46392,-18.769316
0,-83.926445,-19.458551
0,-81.349266,-21.323034
0,-78.37113,-24.10583
0,-74.847565,-27.632492
0,-70.83308,-31.849134
0,-66.36711,-36.696697
0,-61.472122,-42.1068
0,-56.18041,-48.020767
0,-50.527054,-54.382114
0,-44.524475,-61.109028
0,-38.242188,-68.17401
0,-31.730026,-75.55047
0,-24.967508,-83.21316
0,-17.809305,-91.080574
0,-10.2750025,-99.13067
0,-2.3906682,-107.34269
1,161.82736,-250.0328
1,160.56853,-258.58627
1,160.16936,-267.50674
1,160.60965,-276.61203
1,162.13988,-284.71173
1,164.70457,-289.81516
1,166.40343,-294.3569
1,168.10228,-298.89865
1,169.54797,297.24088
1,170.47656,294.701
1,171.29034,292.23184
1,172.00978,289.7334
1,172.82239,287.2642
1,173.8664,284.88446
1,175.23825,282.67862
1,176.73761,280.55496
1,178.09064,278.3184
1,179.06606,275.91147
1,180.27057,273.40424
1,181.72438,270.30875
1,183.43802,266.37445
1,185.43227,261.6858
1,187.69714,256.3125
1,190.22488,250.32034
1,192.8987,243.72507
2,278.7306,120.49546
2,287.19775,131.2644
2,293.89487,141.78731
2,298.8552,151.83057
2,302.2344,161.51614
2,304.1385,170.83623
2,304.72253,179.93858
2,304.21985,189.07283
2,302.9551,198.48026
2,301.16293,208.26546
2,299.03113,218.46825
2,296.73227,229.10478
2,294.51117,240.16676
2,292.8402,251.3034
2,291.50156,260.62326
2,290.46075,267.8647
2,289.75198,273.01697
2,289.2761,276.02655
2,288.49628,278.49203
2,286.32584,278.07193
2,285.10895,275.8432
2,285.58374,273.16553
2,286.55304,270.1314
2,287.19196,267.0724
2,288.0832,264.02463
3,-206.62929,188.6213
3,-192.06989,192.84286
3,-177.83974,195.95306
3,-163.67111,198.39409
3,-149.40408,200.59814
3,-135.09102,202.43346
3,-120.71612,204.12749
3,-106.299515,206.04176
3,-92.16486,208.707
3,-78.64269,212.32791
3,-65.645546,216.80835
3,-53.25465,222.12263
3,-41.60053,228.25479
3,-30.619125,235.13773
3,-20.244226,242.70804
3,-10.375683,250.89847
3,-0.9932046,259.6776
3,7.9683022,269.00632
3,16.74304,278.65967
3,25.748909,287.1448
3,34.887238,294.18018
3,43.621094,299.92175
3,52.407722,-296.86407
3,61.177345,-293.92557
3,69.85817,-292.32693
4,-330.25714,-59.241035
4,-327.58923,-55.451073
4,-323.90115,-52.011665
4,-319.3057,-48.541443
4,-313.84583,-45.363705
4,-307.58774,-42.583103
4,-300.59476,-40.082386
4,-292.9305,-37.71077
4,-284.64856,-35.461666
4,-275.79794,-33.393963
4,-266.42816,-31.569572
4,-256.59384,-30.07635
4,-246.35413,-28.960579
4,-235.75673,-28.225323
4,-224.84605,-27.882635
4,-213.66203,-27.933348
4,-202.24031,-28.366358
4,-190.62288,-29.191029
4,-178.84798,-30.418394
4,-166.96509,-32.07989
4,-155.01587,-34.18977
4,-143.01747,-36.70931
4,-131.01082,-39.624832
4,-119.04913,-42.916355
4,-107.19461,-46.52543
5,-377.29572,-16.435207
5,-367.95642,-10.518799
5,-358.1339,-4.801406
5,-347.85608,0.69627595
5,-337.14218,5.794756
5,-326.02603,10.422888
5,-314.5418,14.591694
5,-302.72015,18.369303
5,-290.59464,21.72604
5,-278.21103,24.558949
5,-265.60266,26.866339
5,-252.80305,28.652744
5,-239.83134,29.981684
5,-226.71841,30.857983
5,-213.5022,31.263088
5,-200.21071,31.206114
5,-186.86203,30.707281
5,-173.46312,29.808424
5,-160.01724,28.564287
5,-146.54965,26.956081
5,-133.08162,24.971422
5,-119.62301,22.62268
5,-106.194,19.897465
5,-92.8331,16.7467
5,-79.54418,13.186715
6,-138.23056,50.932644
6,-129.05862,61.616344
6,-120.21642,70.27266
6,-111.58192,77.06972
6,-102.9477,82.25137
6,-94.3493,85.93386
6,-85.70033,88.29208
6,-76.97107,89.480774
6,-68.46725,89.38684
6,-60.084263,88.127235
6,-51.992348,85.64195
